ID,FirstName,LastName,FirstNameSoundex,LastNameSoundex
b4d33191-7108-4def-824c-c2143e158adf,dale,webb,D400,W100
c53aa03c-8f75-4973-920d-eb21b93c3fb6,jason,lemen,J250,L550
8c7e093a-252c-4948-ada0-f75986d26bf0,nydia,cogswell,N300,C240
8a18314c-dddf-40b8-9489-120df90234ea,patricia,bragg,P362,B620
172fe6fc-acba-49c7-b41f-6cd520466ac1,abraham,ziminski,A165,Z552
2406585a-f129-47f1-9dc8-23a45e0ac06d,claire,diven,C460,D150
7c5f63bb-9970-4089-8441-e8ee7e519dcf,ina,collins,I500,C452
9adfccde-70e4-43f9-afdf-67e330462ac1,jeffrey,shumate,J160,S530
923c0590-2905-45d1-86a3-e5a3d76c1508,peter,deberry,P360,D160
a26a8eba-7f0d-4060-82e6-991a56aba71c,gladys,vaught,G432,V230
f24bdf2f-8a66-49eb-a04b-7c7da20f8898,john,blair,J500,B460
8d138968-bbf0-47ef-af57-73421902f2ba,geoffrey,french,G160,F652
63e01ff5-6204-48e4-b6df-d8ae6047fc5f,felicia,campbell,F420,C514
5e75658e-0f57-418e-9dab-864c392110f9,janis,mckethan,J520,M235
446e0ec8-2829-4584-a118-e7496711d8ee,laura,devine,L600,D150
c5eaa33f-4635-40c4-bf23-515016adc365,laura,sparacio,L600,S162
9ac77044-6c01-465f-89d6-f8d7cf4c8a50,patricia,miller,P362,M460
046f163a-3ab2-475d-88d2-9ba415696376,audrey,henkel,A360,H524
df8302f7-7e45-4eb6-8d86-0880d6c0990f,justin,fleming,J235,F455
8c82dafc-7547-4ed9-9e13-a33bf2bf41b5,breanna,strickland,B650,S362
216ef54e-d58d-47c8-903a-9a34b36523dc,juanita,borsellino,J530,B624
8b873176-a499-496c-95c1-7640a440c6df,melinda,holmes,M453,H452
536cde46-06b8-420e-a3a8-51850a3c52f6,barbara,cornely,B616,C654
624ed0f2-98c3-46a2-9741-1fa9eed90b75,evelyn,woodard,E145,W363
450970bb-0ae2-4157-afb5-790581255c42,peter,eaton,P360,E350
abe6159e-6f57-49d2-b3e6-fab79332f2b2,andrea,flom,A536,F450
9dbe285c-fd72-42a3-b746-3ba5b88a984b,linda,owens,L530,O520
c3b48d4a-38d7-4eeb-89b9-e037056aea30,sarai,mccardell,S600,M263
0af17374-43e2-47e4-80e4-be1d1aeda109,jonathon,taylor,J535,T460
e86a717b-df3c-4c77-9893-053f01e28c72,sybil,sylla,S140,S400
c3f960c7-94c1-428e-84cb-25d35de5cbed,james,maloney,J520,M450
f216201a-ab5a-40dd-b5a4-9c33141b6dfd,michael,merrell,M240,M640
e5b39265-1011-455a-bda6-14652287adf6,craig,phillips,C620,P412
ae1119e6-6df0-4864-ae28-5f0502b08c07,brock,adams,B620,A352
90eff07a-cf7f-4721-bb96-51901a77bb53,dan,ostrzyeki,D500,O236
ddab7506-9843-497d-9ae7-fb8702b00f40,ross,mair,R200,M600
6e656ef9-9377-4f74-8e45-0bba87d4d411,catherine,guidry,C365,G360
6b1dfd1d-f407-40ff-8065-03beb6225d45,michael,christmas,M240,C623
dffa1686-86c5-45e7-93a7-67592a991c71,anna,jares,A500,J620
428db506-bc48-4106-b2f3-2d761ecb6280,carl,michel,C640,M240
7e59dd61-ead6-49a8-859c-0df04974ba76,vincent,hoff,V525,H100
8f1149b4-90aa-4ba1-b92e-a5521ea68053,jewel,mezzatesta,J400,M232
31b484e3-9d13-4f71-9f68-2b25d51e3c80,florence,oshaughnessy,F465,O225
49f495e4-b61c-4af0-89d5-5645aa1dc40a,rebecca,cooper,R120,C160
e78af585-8681-4594-8417-9b505ee55cd2,robert,hay,R163,H000
866d9361-b0e6-485e-b806-6718f8aea2cc,patricia,brooks,P362,B620
12bfa869-d954-4cc9-8a43-b537c7ad5dee,charlotte,saba,C643,S100
f0c78c55-06f8-4879-be73-80e1e5c8d954,linda,mason,L530,M250
6ea253d0-ddfc-4ef4-8dda-d2679bddf1d9,lynn,garcia,L500,G620
3f4b1532-b98d-43b8-ac67-20aa801b1066,tabitha,anderson,T130,A536
0fca1220-bd39-4b58-9721-f455ec58328f,leonel,lloyd,L540,L430
32254962-be4c-4696-aa1d-fe4aded7bcc9,latoya,bauman,L300,B550
644ec079-810f-48a0-ac72-f038cc887513,christa,franklin,C623,F652
689ad3bb-45b4-48a4-8bda-8a9a7b8cbd0c,fanny,taylor,F500,T460
1530b5dc-64d3-46fc-9a01-f9b51892689c,carol,starnes,C640,S365
0d0c5f04-29e4-4579-b19b-3d2a9cb6c311,nick,patnode,N200,P353
56d62afe-54db-4566-a81e-6498b0738af1,lowell,saiz,L400,S200
df08214c-5f01-4194-bec7-4f0e4c58dc4d,vicki,craft,V200,C613
ce7ed6c2-32c9-401c-a157-4a7eab57800d,michele,daye,M240,D000
7d0fa446-690f-4cb9-8708-a2f7f77fb9d9,mike,flores,M200,F462
8ed55692-034e-4393-a8fd-e6dda4ee378a,debra,redden,D160,R350
b7066eda-b41c-4495-b16c-fc1a3153b0a6,ina,simon,I500,S550
6aa22432-b579-47ab-8ecf-29ef76b666d0,robert,lavis,R163,L120
1bb8ca5a-5f28-4a6a-8941-2ee6b09ff963,debora,shearon,D160,S650
38095034-fb78-45c7-900c-ca08710e7bdb,jennifer,rhoden,J516,R350
0b2adb94-192a-4ddd-8342-df58e95beb6e,rebecca,jeffries,R120,J162
1bb3eba6-78b9-4d16-a0f5-6cffae8c200b,brian,walter,B650,W436
75913e24-ed74-4e0f-a035-f4efd1a9be2e,billy,dacosta,B400,D223
55bc315e-7eee-48c0-810b-cf5a9bdf54a0,bobby,cho,B100,C000
eac27642-9fb1-475c-b12b-4ff1ee4be711,sally,thompson,S400,T512
0a6eb352-7f63-4fc0-af29-d2e37232a85e,ruth,zelaya,R300,Z400
d961fb31-ab51-469f-b43b-b537299d7695,marion,vanzandt,M650,V525
30e63717-ee4b-4ed9-b028-4f6847dff9a8,steve,erickson,S310,E625
4249dfab-66e8-423d-a181-87d34347d3d9,charity,tangerman,C630,T526
7a053af7-929c-4c4a-9412-8e56bd5c5d3b,latoya,green,L300,G650
e59f4f84-fb15-42cd-a750-2ffdfec1077a,mary,tyler,M600,T460
d9feb615-d523-4df8-a267-ae0b0295dba5,jackie,gibson,J200,G125
c07d4527-cd84-41dd-a565-0f59dc395f01,charles,loomis,C642,L520
5a8aa231-98b8-4053-9f23-a05b4c976a47,mable,coffield,M140,C143
6eb6261b-41a0-47a3-9799-1148c63466fc,karen,villena,K650,V450
ebe20781-f25b-4176-8efd-805526cf2bbc,salvador,boulware,S413,B460
d3ad6a86-2d71-46e3-ae84-df144f21a572,angela,kottke,A524,K320
47dac595-9280-464b-9454-c2655b8ee38b,toni,ferris,T500,F620
ec67f0f3-f4b5-44cc-a1ba-2bd74518ced5,emil,coward,E540,C630
4ee5962f-e84d-4bb7-a130-1c7755fe5c6a,charles,aldana,C642,A435
602763f1-b9d2-474e-9810-d0d683a76332,joanne,williams,J500,W452
28244113-c8e8-42e5-9577-e9bb89a905ab,christopher,crawford,C623,C616
45306348-bb0b-4687-8c82-95928e76d2fe,rebecca,hall,R120,H400
fe6c7ca0-5ab4-4a2d-90f9-c199a22e13a6,stephanie,moore,S315,M600
127d5702-ef32-4a8e-94e0-ab8879cddaa7,clarice,mann,C462,M500
08d5421d-f818-4421-a204-690a0a34e212,michael,benson,M240,B525
a2acb38c-acd1-47c1-adc5-00a505344df8,harold,bassi,H643,B200
345ac331-d473-41e9-87d7-1dfaa96f48ea,james,hall,J520,H400
4a00988e-b85f-45ca-ad61-b60d79e2b54f,gearldine,watts,G643,W320
1e6a20fd-8f26-432f-b6c8-a7f8f97fa5ae,linda,douglass,L530,D242
3fe67712-a53f-4505-8d34-d1f358b57ee7,michael,oliver,M240,O416
2f251be7-f064-45ce-9001-90e5a3fac90a,megan,pine,M250,P500
553d166d-74f5-434b-80ca-09bb9e7f6837,ralph,siegmund,R410,S255
4b9461e8-9ee3-4a1b-b994-dba9e449cca3,gary,vela,G600,V400
5aeb339b-012a-4410-be8f-577363927d65,dion,costanzo,D500,C235
4ee75dbf-1017-4378-9427-9a14b1b359d8,ryan,cunningham,R500,C552
934ec00b-2e42-4200-b9bf-c60f4cb2f1dc,harold,johnson,H643,J525
407342e3-b816-4711-b44b-2af04c9b8f58,richard,alexander,R263,A425
ef1375c5-62b3-4c5c-a61d-e8f940e806a3,richard,carroll,R263,C640
a1b5ba02-6e66-4c92-86c0-6e57c6bac94a,joan,bradley,J500,B634
4560d7d0-1917-48cf-a1fe-3ac3699041b2,michael,rivenburg,M240,R151
fd302ede-3c74-465b-8205-d2568fceddd5,james,kay,J520,K000
bacdca16-7eba-4d7d-b081-9620321f5548,robert,tufte,R163,T130
d074c803-d942-4811-a18f-1bb12ff81e1f,clark,orf,C462,O610
b0a98e6a-9bae-48b8-a5e5-d9c0b527a886,xiomara,dolan,X560,D450
4afd7d46-68be-4579-857e-063fb2d94e04,mary,brown,M600,B650
78fc6a8c-4dab-4bb1-80e2-022dbc2f9075,theresa,brown,T620,B650
d6fe4a2a-a460-44f6-901d-af7fd4f7e536,shannon,ranieri,S550,R560
b12b28c7-4fbe-4737-b6cf-fe29958bc1dd,stephanie,white,S315,W300
b9e07a6b-ca04-45ac-a79d-391f4dc337da,edwin,jansen,E350,J525
045888cf-b348-45f6-b984-194deec2ca70,richard,harlan,R263,H645
03566de8-4546-44d7-8be9-36e41f03fe0a,betty,caudle,B300,C340
7cd85604-90b3-42f0-a3a7-1f99d5f068bd,marilyn,flaming,M645,F455
48f0bcc0-b730-49c3-b2b7-fe57b969290a,brian,burkhardt,B650,B626
777393f6-5b85-4ad6-b675-877ab4184fbe,pam,anderson,P500,A536
e1a627d4-fb9f-4716-91fe-920f2842e9d3,ronald,leach,R543,L200
3c78ffdb-cf9a-4130-bdfb-481666c375d3,carmen,johnson,C655,J525
673958e1-8a3b-4501-8667-34a07c3fda5f,sondra,gonzales,S536,G524
79f1ecaf-7757-4ce7-9f52-c7efd5b92bc1,joetta,delaney,J300,D450
1e95a6c5-ea63-4093-8a37-3e1196fbc208,jennifer,clawson,J516,C425
9fecdff0-715a-45f1-82a7-1871da95b109,derrick,klink,D620,K452
e4f360e5-e33f-4516-9ea8-7fc87e33fbd5,sam,stermer,S500,S365
f90281ed-687c-4788-9e4d-9dffc192ca6f,colby,furrow,C410,F600
f8801a66-455e-482d-ab13-e81faf12d10a,ricardo,rodriguez,R263,R362
d5e6970a-2903-4c06-b5de-353e8c5200bf,rhonda,boisse,R530,B200
fe89813c-d76f-4be0-a482-8b22ad56c25f,ashley,hamblin,A240,H514
b74c934c-2205-42fa-bf11-b0b852fa85ff,jeanette,estrada,J530,E236
68310d82-385d-43e2-8dd4-86cb27a6bdff,amanda,johnson,A553,J525
6bcc6cce-7e30-45cd-89a1-02d2a0cbee80,david,johansson,D130,J525
